worker,task_type,size,repeat,pair_index,duration_ms,error,cpu_util_pct,ram_usage_kib,ram_max_kib,cpu_limit_cores,metrics_error
worker1:2001,mat_mul,150,3,0,2226,,30.14,14528.00,307200.00,0.30,
worker1:2001,mat_mul,200,1,0,5417,,30.04,14316.00,307200.00,0.30,
worker1:2001,mat_mul,200,2,0,5219,,30.09,16808.00,307200.00,0.30,
worker1:2001,mat_mul,200,3,0,4718,,27.48,8592.00,307200.00,0.30,
worker1:2001,prime_sieve,5000000,1,0,221,,29.86,16364.00,307200.00,0.30,
worker1:2001,prime_sieve,5000000,2,0,321,,26.60,8400.00,307200.00,0.30,
worker1:2001,prime_sieve,5000000,3,0,223,,26.60,8400.00,307200.00,0.30,
worker1:2001,prime_sieve,10000000,1,0,518,,26.60,8400.00,307200.00,0.30,
worker1:2001,prime_sieve,10000000,2,0,945,,28.28,27944.00,307200.00,0.30,
worker1:2001,prime_sieve,10000000,3,0,322,,28.44,8548.00,307200.00,0.30,
worker1:2001,prime_sieve,20000000,1,0,716,,28.44,8548.00,307200.00,0.30,
worker1:2001,prime_sieve,20000000,2,0,1720,,29.11,8488.00,307200.00,0.30,
worker1:2001,prime_sieve,20000000,3,0,1723,,29.84,44560.00,307200.00,0.30,
